学校,年份,专业,科类,选科,最低分,平均分,最低位次,批次,学校类别,学校层次,办学性质,双一流,211,985,隶属,城市,省份
厦门大学,2024,会计学（含会计、财务、审计）,物理类,首选物理，再选不限,657,0,1747,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,化学类,物理类,首选物理，再选化学,657,0,1747,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,电子信息类,物理类,首选物理，再选化学,655,0,1941,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,数学类,物理类,首选物理，再选化学,653,0,2150,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,计算机类,物理类,首选物理，再选化学,653,0,2150,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,工科试验班（航空航天）,物理类,首选物理，再选化学,652,0,2258,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,物理学类,物理类,首选物理，再选化学,651,0,2365,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,工科试验班（化工与材料类）,物理类,首选物理，再选化学,650,0,2482,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,理科试验班（生命科学与药学类）,物理类,首选物理，再选化学,648,0,2723,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,经济学类,物理类,首选物理，再选不限,647,0,2845,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,理科试验班（应用医学类）,物理类,首选物理，再选化学,643,0,3373,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,公共管理类,物理类,首选物理，再选思想政治,639,0,3941,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,预科班,物理类,首选物理，再选不限,638,0,4079,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,计算机科学与技术（厦门大学马来西亚分校招生专业）,物理类,首选物理，再选化学,614,0,9143,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,数据科学与大数据技术（厦门大学马来西亚分校招生专业）,物理类,首选物理，再选化学,614,0,9143,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,软件工程（厦门大学马来西亚分校招生专业）,物理类,首选物理，再选化学,613,0,9405,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,电子信息工程（厦门大学马来西亚分校招生专业）,物理类,首选物理，再选化学,610,0,10182,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
厦门大学,2024,网络空间安全（厦门大学马来西亚分校招生专业）,物理类,首选物理，再选化学,607,0,11037,本科批,综合类,本科,公办,双一流,是,是,教育部,厦门市,福建
四川大学,2024,口腔医学（八年制）,物理类,首选物理，再选化学,685,0,199,本科批,综合类,本科,公办,双一流,是,是,教育部,成都市,四川
四川大学,2024,临床医学（八年制）,物理类,首选物理，再选化学,679,0,376,本科批,综合类,本科,公办,双一流,是,是,教育部,成都市,四川
四川大学,2024,口腔医学（5+3一体化）,物理类,首选物理，再选化学,674,0,560,本科批,综合类,本科,公办,双一流,是,是,教育部,成都市,四川
四川大学,2024,口腔医学（五年制）,物理类,首选物理，再选化学,667,0,956,本科批,综合类,本科,公办,双一流,是,是,教育部,成都市,四川
四川大学,2024,临床医学（五年制）,物理类,首选物理，再选化学,657,0,1747,本科批,综合类,本科,公办,双一流,是,是,教育部,成都市,四川
四川大学,2024,数学类（含双学士学位）,物理类,首选物理，再选化学,653,0,2150,本科批,综合类,本科,公办,双一流,是,是,教育部,成都市,四川
四川大学,2024,计算机类（含双学士学位）,物理类,首选物理，再选化学,650,0,2482,本科批,综合类,本科,公办,双一流,是,是,教育部,成都市,四川
